"Semana","Sesión","Sesión semanal","Día","Fecha","Capítulo","Tema","Resultado de aprendizaje de la sesión","ANTES de clase (trabajo autónomo)","DURANTE la clase (2 h)","DESPUÉS de clase (trabajo autónomo)","Monitoría semanal (2 h)","Evidencia / producto","Evaluación propuesta","Horas clase","Horas autónomas","Horas con monitor"
6,11,1,"Lunes","Por definir","2. Introducción a la probabilidad","Regla fundamental del conteo","Resolver conteos por etapas","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
6,12,2,"Miércoles","Por definir","2. Introducción a la probabilidad","Permutaciones y combinaciones","Elegir y aplicar la técnica de conteo adecuada","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Formativa",2,1.5,2
7,13,1,"Lunes","Por definir","2. Introducción a la probabilidad","Definición, enfoques y axiomas de probabilidad","Distinguir enfoques y aplicar axiomas","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
7,14,2,"Miércoles","Por definir","2. Introducción a la probabilidad","Probabilidad de eventos simples y compuestos","Calcular probabilidades con reglas aditiva y del complemento","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Quiz 2 (5%)",2,1.5,2
8,15,1,"Lunes","Por definir","2. Introducción a la probabilidad","Probabilidad condicional e independencia","Interpretar y calcular probabilidades condicionadas","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
8,16,2,"Miércoles","Por definir","2. Introducción a la probabilidad","Probabilidad total, Bayes, árboles y tablas","Actualizar probabilidades y comunicar el razonamiento","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Formativa",2,1.5,2
9,17,1,"Lunes","Por definir","3. Variables aleatorias","Concepto y clasificación de variable aleatoria","Traducir resultados aleatorios a variables numéricas","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
9,18,2,"Miércoles","Por definir","3. Variables aleatorias","Variable aleatoria discreta y función de probabilidad","Construir y validar distribuciones discretas","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Formativa",2,1.5,2
10,19,1,"Lunes","Por definir","3. Variables aleatorias","Variable continua: densidad y distribución acumulada","Calcular e interpretar probabilidades mediante densidad y FDA","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
10,20,2,"Miércoles","Por definir","3. Variables aleatorias","Valor esperado y varianza","Caracterizar una variable aleatoria con media y varianza","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Examen 2 (20%) + Laboratorio 2 (5%)",2,1.5,2
11,21,1,"Lunes","Por definir","3. Variables aleatorias","Distribuciones conjuntas discretas","Obtener distribuciones conjuntas, marginales y condicionales","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
11,22,2,"Miércoles","Por definir","3. Variables aleatorias","Distribuciones conjuntas continuas","Integrar densidades conjuntas y obtener marginales","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Quiz 3 (5%)",2,1.5,2
12,23,1,"Lunes","Por definir","3. Variables aleatorias","Covarianza, correlación e independencia","Evaluar dependencia entre variables aleatorias","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
12,24,2,"Miércoles","Por definir","3. Variables aleatorias","Combinaciones lineales; esperanza y varianza condicional","Calcular momentos de combinaciones y condicionales","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Formativa",2,1.5,2
13,25,1,"Lunes","Por definir","4. Modelos de probabilidad","Uniforme discreta, Bernoulli y binomial","Seleccionar y aplicar modelos discretos básicos","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
13,26,2,"Miércoles","Por definir","4. Modelos de probabilidad","Hipergeométrica","Modelar muestreo sin reemplazo","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Formativa",2,1.5,2
14,27,1,"Lunes","Por definir","4. Modelos de probabilidad","Poisson y Pascal","Modelar conteos, ocurrencias y número de ensayos","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
14,28,2,"Miércoles","Por definir","4. Modelos de probabilidad","Uniforme continua y normal","Calcular probabilidades continuas y estandarizar","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Laboratorio 3 (5%)",2,1.5,2
15,29,1,"Lunes","Por definir","4. Modelos de probabilidad","Gamma y exponencial","Modelar tiempos de espera y usar la propiedad sin memoria","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
15,30,2,"Miércoles","Por definir","4. Modelos de probabilidad","Weibull y probabilidad de fallas","Analizar confiabilidad y riesgo de falla","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Examen 3 (20%)",2,1.5,2
16,31,1,"Lunes","Por definir","4. Modelos de probabilidad","t de Student, chi-cuadrado y F de Snedecor","Reconocer distribuciones base para inferencia","Revisar guía, microvideo/lectura y responder 3 preguntas de preparación (45 min).","Prueba de entrada; aclaración breve; entrega y presentación de la guía; ejemplo modelado.","Completar notas y preparar dudas para monitoría (45 min).","—","Guía previa + prueba de entrada + explicación breve","Formativa",2,1.5,0
16,32,2,"Miércoles","Por definir","4. Modelos de probabilidad","Kernel, selección de modelos e integración del curso","Aproximar distribuciones, comparar modelos y comunicar resultados","Revisar retroalimentación de la sesión 1 y resolver ejercicios diagnósticos (45 min).","Dudas y preguntas; taller colaborativo basado en problemas; puesta en común y cierre.","Consolidar solución, autoevaluar y registrar hallazgos en portafolio/proyecto (45 min).","Taller semanal con monitor: práctica guiada y retroalimentación (2 h).","Taller resuelto + ticket de salida/portafolio","Proyecto: entrega y sustentación (10%)",2,1.5,2
